DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE090C,2020,188686,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE091C,2020,202137,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE092C,2020,179916,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE093C,2020,156449,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE094C,2020,159245,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE095C,2020,165251,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE096C,2020,172253,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE097C,2020,163729,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE098C,2020,169077,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE099C,2020,153896,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE100C,2020,161485,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE101C,2020,151633,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE102C,2020,127934,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE103C,2020,111397,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE104C,2020,124371,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE105C,2020,113643,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE106C,2020,117565,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE107C,2020,126592,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE108C,2020,111338,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE109C,2020,130280,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE110C,2020,126790,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE111C,2020,125957,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,DE112C,2020,137392,,
