route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km,operator,type,train_gco2_pkm,plane_gco2_pkm,train_co2_kg,plane_co2_kg,co2_savings_kg,savings_percent,emission_source,calculation_date,train_gco2_pkm_ademe,train_co2_kg_ademe,co2_savings_kg_ademe,rail_modal_share_pct
Berlin Ostbahnhof → Köln Messe/Deutz Gl.11-12,Berlin Ostbahnhof,Koln Messe Deutz Gl 11 12,night,Berlin Ostbahnhof → Koln Messe Deutz Gl 11 12,DE,DE,477.74,DB,night,14,144,6.69,68.79,62.1,90.3,Back-on-Track 2022,2026-03-22,0.014,6.68836,62.10164,9.9
Berlin Ostbahnhof → Leer(Ostfriesl),Berlin Ostbahnhof,Leer Ostfriesl,day,Berlin Ostbahnhof → Leer Ostfriesl,DE,DE,408.47,DB,day,14,144,5.72,58.82,53.1,90.3,Back-on-Track 2022,2026-03-22,0.014,5.71858,53.10142,9.9
Berlin Ostbahnhof → Mönchengladbach Hbf,Berlin Ostbahnhof,Monchengladbach Hbf,day,Berlin Ostbahnhof → Monchengladbach,DE,DE,501.5,DB,day,14,144,7.02,72.22,65.2,90.3,Back-on-Track 2022,2026-03-22,0.014,7.021,65.199,9.9
Berlin Ostbahnhof → Moskva Belorusskaja,Berlin Ostbahnhof,Moskva Belorusskaja,day,Berlin Ostbahnhof → Moskva Belorusskaja,DE,DE,1605.16,DPN,day,14,144,22.47,231.14,208.67,90.3,Back-on-Track 2022,2026-03-22,0.014,22.472240000000003,208.66776,9.9
Berlin Ostbahnhof → München Hbf,Berlin Ostbahnhof,Munchen Hbf,night,Berlin Ostbahnhof → Munchen,DE,DE,503.83,DB,night,14,144,7.05,72.55,65.5,90.3,Back-on-Track 2022,2026-03-22,0.014,7.05362,65.49638,9.9
Münster(Westf)Hbf → Berlin Ostbahnhof,Munster Westf Hbf,Berlin Ostbahnhof,night,Munster Westf → Berlin Ostbahnhof,DE,DE,399.58,DB,night,14,144,5.59,57.54,51.95,90.3,Back-on-Track 2022,2026-03-22,0.014,5.59412,51.94588,9.9
Berlin Ostbahnhof → Norddeich Mole,Berlin Ostbahnhof,Norddeich Mole,day,Berlin Ostbahnhof → Norddeich Mole,DE,DE,437.06,DB,day,14,144,6.12,62.94,56.82,90.3,Back-on-Track 2022,2026-03-22,0.014,6.1188400000000005,56.82116,9.9
Oldenburg(Oldb) → Berlin Ostbahnhof,Oldenburg Oldb,Berlin Ostbahnhof,night,Oldenburg Oldb → Berlin Ostbahnhof,DE,DE,357.11,DB,night,14,144,5.0,51.42,46.42,90.3,Back-on-Track 2022,2026-03-22,0.014,4.9995400000000005,46.42046,9.9
Berlin Ostbahnhof → Osnabrück Hbf,Berlin Ostbahnhof,Osnabruck Hbf,day,Berlin Ostbahnhof → Osnabruck,DE,DE,365.46,DB,day,14,144,5.12,52.63,47.51,90.3,Back-on-Track 2022,2026-03-22,0.014,5.11644,47.513560000000005,9.9
Berlin Ostbahnhof → Stuttgart Hbf,Berlin Ostbahnhof,Stuttgart Hbf,day,Berlin Ostbahnhof → Stuttgart,DE,DE,511.29,DB,day,14,144,7.16,73.63,66.47,90.3,Back-on-Track 2022,2026-03-22,0.014,7.158060000000001,66.47193999999999,9.9
Berlin Ostbahnhof → Tübingen Hbf,Berlin Ostbahnhof,Tubingen Hbf,day,Berlin Ostbahnhof → Tubingen,DE,DE,541.25,DB,day,14,144,7.58,77.94,70.36,90.3,Back-on-Track 2022,2026-03-22,0.014,7.577500000000001,70.3625,9.9
ICE 77,Utrecht Centraal,Berlin Ostbahnhof,day,Utrecht Centraal → Berlin Ostbahnhof,DE,DE,567.69,DB,day,14,144,7.95,81.75,73.8,90.3,Back-on-Track 2022,2026-03-22,0.014,7.947660000000001,73.80234,9.9
Berlin Ostbahnhof → Zürich HB,Berlin Ostbahnhof,Zurich Hb,day,Berlin Ostbahnhof → Zurich Hb,DE,DE,669.24,SBB,day,14,144,9.37,96.37,87.0,90.3,Back-on-Track 2022,2026-03-22,0.014,9.36936,87.00064,9.9
Münster(Westf)Hbf → Berlin-Spandau,Munster Westf Hbf,Berlin Spandau,night,Munster Westf → Berlin Spandau,DE,DE,383.93,DB,night,14,144,5.38,55.29,49.91,90.3,Back-on-Track 2022,2026-03-22,0.014,5.37502,49.91498,9.9
